Date : 2019-11-06 18:07:04
Directory : d:\Develop\sinbad-apps\supplier-center
Total : 669 files,  78819 codes, 7465 comments, 7620 blanks, all 93904 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-employee-detail\merchant-employee-detail.component.ts   | TypeScript |        138 |         36 |         39 |        213 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-info-detail\merchant-info-detail.component.html         | HTML       |      1,125 |         31 |         45 |      1,201 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-info-detail\merchant-info-detail.component.scss         | SCSS       |         56 |          3 |         14 |         73 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-info-detail\merchant-info-detail.component.ts           | TypeScript |         55 |         10 |         13 |         78 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-location-detail\merchant-location-detail.component.html | HTML       |         32 |         12 |          7 |         51 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-location-detail\merchant-location-detail.component.scss | SCSS       |          0 |          0 |          1 |          1 |
| src\app\main\pages\accounts\merchants\merchant-detail\merchant-location-detail\merchant-location-detail.component.ts   | TypeScript |         80 |         12 |         15 |        107 |
| src\app\main\pages\accounts\merchants\merchant-employee\merchant-employee.component.html                               | HTML       |        256 |         17 |         22 |        295 |
| src\app\main\pages\accounts\merchants\merchant-employee\merchant-employee.component.scss                               | SCSS       |         34 |          1 |          5 |         40 |
| src\app\main\pages\accounts\merchants\merchant-employee\merchant-employee.component.ts                                 | TypeScript |        325 |         40 |         51 |        416 |
| src\app\main\pages\accounts\merchants\merchant-form\merchant-form.component.html                                       | HTML       |      1,043 |         77 |         92 |      1,212 |
| src\app\main\pages\accounts\merchants\merchant-form\merchant-form.component.scss                                       | SCSS       |          0 |          5 |          1 |          6 |
| src\app\main\pages\accounts\merchants\merchant-form\merchant-form.component.ts                                         | TypeScript |        997 |         40 |         87 |      1,124 |
| src\app\main\pages\accounts\merchants\merchants-routing.module.ts                                                      | TypeScript |         57 |         20 |          4 |         81 |
| src\app\main\pages\accounts\merchants\merchants.component.html                                                         | HTML       |        232 |        111 |         34 |        377 |
| src\app\main\pages\accounts\merchants\merchants.component.scss                                                         | SCSS       |         76 |         55 |         26 |        157 |
| src\app\main\pages\accounts\merchants\merchants.component.ts                                                           | TypeScript |        205 |         30 |         48 |        283 |
| src\app\main\pages\accounts\merchants\merchants.module.ts                                                              | TypeScript |         43 |          7 |          6 |         56 |
| src\app\main\pages\accounts\merchants\merchants.theme.scss                                                             | SCSS       |         20 |          0 |          4 |         24 |
| src\app\main\pages\accounts\merchants\models\index.ts                                                                  | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\accounts\merchants\models\merchant.model.ts                                                         | TypeScript |      1,028 |         65 |         68 |      1,161 |
| src\app\main\pages\accounts\merchants\resolvers\index.ts                                                               | TypeScript |          2 |          0 |          1 |          3 |
| src\app\main\pages\accounts\merchants\resolvers\merchant-employee.resolver.ts                                          | TypeScript |         36 |          0 |          5 |         41 |
| src\app\main\pages\accounts\merchants\resolvers\merchant.resolver.ts                                                   | TypeScript |         33 |         29 |          7 |         69 |
| src\app\main\pages\accounts\merchants\services\index.ts                                                                | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\accounts\merchants\services\merchant-api.service.spec.ts                                            | TypeScript |          9 |          0 |          4 |         13 |
| src\app\main\pages\accounts\merchants\services\merchant-api.service.ts                                                 | TypeScript |        146 |         85 |         24 |        255 |
| src\app\main\pages\accounts\merchants\store\actions\index.ts                                                           | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\accounts\merchants\store\actions\merchant.actions.ts                                                | TypeScript |        181 |         30 |         60 |        271 |
| src\app\main\pages\accounts\merchants\store\effects\index.ts                                                           | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\accounts\merchants\store\effects\merchant.effects.spec.ts                                           | TypeScript |         20 |          0 |          6 |         26 |
| src\app\main\pages\accounts\merchants\store\effects\merchant.effects.ts                                                | TypeScript |        708 |          6 |         46 |        760 |
| src\app\main\pages\accounts\merchants\store\reducers\index.ts                                                          | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\accounts\merchants\store\reducers\merchant.reducer.ts                                               | TypeScript |        224 |          8 |         17 |        249 |
| src\app\main\pages\accounts\merchants\store\selectors\index.ts                                                         | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\accounts\merchants\store\selectors\merchant.selectors.ts                                            | TypeScript |        125 |          0 |         20 |        145 |
| src\app\main\pages\accounts\models\account-detail-form.model.ts                                                        | TypeScript |         23 |          3 |          9 |         35 |
| src\app\main\pages\accounts\models\account-form.model.ts                                                               | TypeScript |         19 |          0 |          7 |         26 |
| src\app\main\pages\accounts\models\account.model.ts                                                                    | TypeScript |        481 |         48 |         31 |        560 |
| src\app\main\pages\accounts\models\index.ts                                                                            | TypeScript |          3 |          0 |          1 |          4 |
| src\app\main\pages\accounts\services\account-api.service.ts                                                            | TypeScript |         34 |          0 |         12 |         46 |
| src\app\main\pages\accounts\services\account.service.ts                                                                | TypeScript |          0 |         36 |          1 |         37 |
| src\app\main\pages\accounts\services\index.ts                                                                          | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\accounts\store\actions\account.actions.ts                                                           | TypeScript |         70 |          0 |         17 |         87 |
| src\app\main\pages\accounts\store\actions\index.ts                                                                     | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\accounts\store\effects\account.effects.ts                                                           | TypeScript |        412 |         15 |         31 |        458 |
| src\app\main\pages\accounts\store\reducers\account.reducer.ts                                                          | TypeScript |        144 |          0 |         17 |        161 |
| src\app\main\pages\accounts\store\selectors\account.selectors.ts                                                       | TypeScript |         53 |          0 |         13 |         66 |
| src\app\main\pages\accounts\store\selectors\index.ts                                                                   | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\attendances\attendance-detail\attendance-detail.component.html                                      | HTML       |        144 |         34 |         16 |        194 |
| src\app\main\pages\attendances\attendance-detail\attendance-detail.component.scss                                      | SCSS       |         53 |          1 |          9 |         63 |
| src\app\main\pages\attendances\attendance-detail\attendance-detail.component.ts                                        | TypeScript |        321 |         41 |         51 |        413 |
| src\app\main\pages\attendances\attendance-detail\attendance-detail.resolver.ts                                         | TypeScript |         17 |          0 |          6 |         23 |
| src\app\main\pages\attendances\attendance-form\attendance-form.component.html                                          | HTML       |        277 |        201 |         30 |        508 |
| src\app\main\pages\attendances\attendance-form\attendance-form.component.scss                                          | SCSS       |         53 |          1 |          9 |         63 |
| src\app\main\pages\attendances\attendance-form\attendance-form.component.ts                                            | TypeScript |        365 |        108 |         66 |        539 |
| src\app\main\pages\attendances\attendance-form\attendance.resolver.ts                                                  | TypeScript |         20 |          0 |          7 |         27 |
| src\app\main\pages\attendances\attendances-routing.module.ts                                                           | TypeScript |         36 |          0 |          4 |         40 |
| src\app\main\pages\attendances\attendances.component.html                                                              | HTML       |        160 |         28 |         26 |        214 |
| src\app\main\pages\attendances\attendances.component.scss                                                              | SCSS       |        113 |          0 |         23 |        136 |
| src\app\main\pages\attendances\attendances.component.ts                                                                | TypeScript |        141 |         18 |         31 |        190 |
| src\app\main\pages\attendances\attendances.module.ts                                                                   | TypeScript |         25 |          7 |          6 |         38 |
| src\app\main\pages\attendances\attendances.theme.scss                                                                  | SCSS       |         20 |          0 |          4 |         24 |
| src\app\main\pages\attendances\i18n\en.ts                                                                              | TypeScript |          7 |          0 |          2 |          9 |
| src\app\main\pages\attendances\models\attendance.model.ts                                                              | TypeScript |        115 |          0 |         12 |        127 |
| src\app\main\pages\attendances\models\index.ts                                                                         | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\attendances\services\attendance-api.service.ts                                                      | TypeScript |         32 |          0 |         10 |         42 |
| src\app\main\pages\attendances\services\index.ts                                                                       | TypeScript |          1 |          0 |          1 |          2 |
| src\app\main\pages\attendances\store\actions\attendance.actions.ts                                                     | TypeScript |         39 |          0 |         11 |         50 |
| src\app\main\pages\attendances\store\actions\index.ts                                                                  | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\attendances\store\effects\attendance.effects.ts                                                     | TypeScript |        292 |          6 |         23 |        321 |
| src\app\main\pages\attendances\store\reducers\attendance.reducer.ts                                                    | TypeScript |        121 |          0 |         16 |        137 |
| src\app\main\pages\attendances\store\reducers\index.ts                                                                 | TypeScript |          2 |          0 |          2 |          4 |
| src\app\main\pages\attendances\store\selectors\attendance.selectors.ts                                                 | TypeScript |         55 |          0 |         13 |         68 |
| src\app\main\pages\attendances\store\selectors\index.ts                                                                | TypeScript |          2 |          0 |          2 |          4 |
