filename, language, Properties, JSON, TypeScript, HTML, SCSS, CSS, Markdown, XML, comment, blank, total
src\@fuse\components\navigation\vertical\collapsable\collapsable.component.ts, TypeScript, 0, 0, 164, 0, 0, 0, 0, 0, 65, 40, 269
src\@fuse\components\navigation\vertical\group\group.component.html, HTML, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
src\@fuse\components\navigation\vertical\group\group.component.scss, SCSS, 0, 0, 0, 0, 19, 0, 0, 0, 0, 5, 24
src\@fuse\components\navigation\vertical\group\group.component.ts, TypeScript, 0, 0, 39, 0, 0, 0, 0, 0, 22, 10, 71
src\@fuse\components\navigation\vertical\item\item.component.html, HTML, 0, 0, 0, 36, 0, 0, 0, 0, 5, 7, 48
src\@fuse\components\navigation\vertical\item\item.component.scss, SCSS, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
src\@fuse\components\navigation\vertical\item\item.component.ts, TypeScript, 0, 0, 38, 0, 0, 0, 0, 0, 23, 10, 71
src\@fuse\components\progress-bar\progress-bar.component.html, HTML, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
src\@fuse\components\progress-bar\progress-bar.component.scss, SCSS, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
src\@fuse\components\progress-bar\progress-bar.component.ts, TypeScript, 0, 0, 52, 0, 0, 0, 0, 0, 26, 16, 94
src\@fuse\components\progress-bar\progress-bar.module.ts, TypeScript, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
src\@fuse\components\progress-bar\progress-bar.service.ts, TypeScript, 0, 0, 73, 0, 0, 0, 0, 0, 41, 19, 133
src\@fuse\components\search-bar\search-bar.component.html, HTML, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
src\@fuse\components\search-bar\search-bar.component.scss, SCSS, 0, 0, 0, 0, 75, 0, 0, 0, 0, 18, 93
src\@fuse\components\search-bar\search-bar.component.ts, TypeScript, 0, 0, 52, 0, 0, 0, 0, 0, 33, 15, 100
src\@fuse\components\search-bar\search-bar.module.ts, TypeScript, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
src\@fuse\components\search-bar\search-bar.theme.scss, SCSS, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
src\@fuse\components\shortcuts\shortcuts.component.html, HTML, 0, 0, 0, 75, 0, 0, 0, 0, 0, 39, 114
src\@fuse\components\shortcuts\shortcuts.component.scss, SCSS, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
src\@fuse\components\shortcuts\shortcuts.component.ts, TypeScript, 0, 0, 144, 0, 0, 0, 0, 0, 56, 31, 231
src\@fuse\components\shortcuts\shortcuts.module.ts, TypeScript, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
src\@fuse\components\shortcuts\shortcuts.theme.scss, SCSS, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
src\@fuse\components\sidebar\sidebar.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
src\@fuse\components\sidebar\sidebar.component.scss, SCSS, 0, 0, 0, 0, 56, 0, 0, 0, 0, 9, 65
src\@fuse\components\sidebar\sidebar.component.ts, TypeScript, 0, 0, 417, 0, 0, 0, 0, 0, 245, 140, 802
src\@fuse\components\sidebar\sidebar.module.ts, TypeScript, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
src\@fuse\components\sidebar\sidebar.service.ts, TypeScript, 0, 0, 38, 0, 0, 0, 0, 0, 27, 13, 78
src\@fuse\components\sidebar\sidebar.theme.scss, SCSS, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
src\@fuse\components\theme-options\theme-options.component.html, HTML, 0, 0, 0, 362, 0, 0, 0, 0, 28, 158, 548
src\@fuse\components\theme-options\theme-options.component.scss, SCSS, 0, 0, 0, 0, 65, 0, 0, 0, 0, 11, 76
src\@fuse\components\theme-options\theme-options.component.ts, TypeScript, 0, 0, 253, 0, 0, 0, 0, 0, 58, 31, 342
src\@fuse\components\theme-options\theme-options.module.ts, TypeScript, 0, 0, 46, 0, 0, 0, 0, 0, 0, 7, 53
src\@fuse\components\theme-options\theme-options.theme.scss, SCSS, 0, 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
src\@fuse\components\widget\widget-toggle.directive.ts, TypeScript, 0, 0, 12, 0, 0, 0, 0, 0, 5, 2, 19
src\@fuse\components\widget\widget.component.html, HTML, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
src\@fuse\components\widget\widget.component.scss, SCSS, 0, 0, 0, 0, 76, 0, 0, 0, 0, 13, 89
src\@fuse\components\widget\widget.component.ts, TypeScript, 0, 0, 37, 0, 0, 0, 0, 0, 19, 10, 66
src\@fuse\components\widget\widget.module.ts, TypeScript, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
src\@fuse\components\widget\widget.theme.scss, SCSS, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
src\@fuse\directives\directives.ts, TypeScript, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
src\@fuse\directives\fuse-if-on-dom\fuse-if-on-dom.directive.ts, TypeScript, 0, 0, 31, 0, 0, 0, 0, 0, 14, 5, 50
src\@fuse\directives\fuse-inner-scroll\fuse-inner-scroll.directive.ts, TypeScript, 0, 0, 60, 0, 0, 0, 0, 0, 39, 17, 116
src\@fuse\directives\fuse-mat-sidenav\fuse-mat-sidenav.directive.ts, TypeScript, 0, 0, 84, 0, 0, 0, 0, 0, 33, 17, 134
src\@fuse\directives\fuse-mat-sidenav\fuse-mat-sidenav.service.ts, TypeScript, 0, 0, 21, 0, 0, 0, 0, 0, 18, 6, 45
src\@fuse\directives\fuse-perfect-scrollbar\fuse-perfect-scrollbar.directive.ts, TypeScript, 0, 0, 313, 0, 0, 0, 0, 0, 171, 66, 550
src\@fuse\directives\fuse-perfect-scrollbar\fuse-perfect-scrollbar.interfaces.ts, TypeScript, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
src\@fuse\fuse.module.ts, TypeScript, 0, 0, 25, 0, 0, 0, 0, 0, 0, 4, 29
src\@fuse\mat-colors\index.ts, TypeScript, 0, 0, 696, 0, 0, 0, 0, 0, 5, 27, 728
src\@fuse\pipes\camelCaseToDash.pipe.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 7, 2, 18
src\@fuse\pipes\filter.pipe.ts, TypeScript, 0, 0, 10, 0, 0, 0, 0, 0, 8, 2, 20
src\@fuse\pipes\getById.pipe.ts, TypeScript, 0, 0, 22, 0, 0, 0, 0, 0, 8, 4, 34
src\@fuse\pipes\htmlToPlaintext.pipe.ts, TypeScript, 0, 0, 9, 0, 0, 0, 0, 0, 7, 2, 18
src\@fuse\pipes\keys.pipe.ts, TypeScript, 0, 0, 20, 0, 0, 0, 0, 0, 7, 4, 31
src\@fuse\pipes\pipes.module.ts, TypeScript, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
src\@fuse\scss\core.scss, SCSS, 0, 0, 0, 0, 21, 0, 0, 0, 9, 8, 38
src\@fuse\scss\fuse.scss, SCSS, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 5
src\@fuse\scss\partials\_angular-material-fix.scss, SCSS, 0, 0, 0, 0, 77, 0, 0, 0, 14, 26, 117
src\@fuse\scss\partials\_breakpoints.scss, SCSS, 0, 0, 0, 0, 32, 0, 0, 0, 2, 5, 39
src\@fuse\scss\partials\_cards.scss, SCSS, 0, 0, 0, 0, 51, 0, 0, 0, 11, 14, 76
src\@fuse\scss\partials\_colors.scss, SCSS, 0, 0, 0, 0, 230, 0, 0, 0, 61, 71, 362
src\@fuse\scss\partials\_docs.scss, SCSS, 0, 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
src\@fuse\scss\partials\_forms.scss, SCSS, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
src\@fuse\scss\partials\_general.scss, SCSS, 0, 0, 0, 0, 44, 0, 0, 0, 17, 9, 70
src\@fuse\scss\partials\_helpers.scss, SCSS, 0, 0, 0, 0, 168, 0, 0, 0, 23, 54, 245
src\@fuse\scss\partials\_icons.scss, SCSS, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
src\@fuse\scss\partials\_material.scss, SCSS, 0, 0, 0, 0, 433, 0, 0, 0, 39, 125, 597
src\@fuse\scss\partials\_navigation.scss, SCSS, 0, 0, 0, 0, 195, 0, 0, 0, 1, 51, 247
src\@fuse\scss\partials\_normalize.scss, SCSS, 0, 0, 0, 0, 189, 0, 0, 0, 165, 94, 448
src\@fuse\scss\partials\_page-layouts.scss, SCSS, 0, 0, 0, 0, 507, 0, 0, 0, 40, 148, 695
src\@fuse\scss\partials\_print.scss, SCSS, 0, 0, 0, 0, 52, 0, 0, 0, 7, 12, 71
src\@fuse\scss\partials\_scrollbars.scss, SCSS, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
src\@fuse\scss\partials\_typography.scss, SCSS, 0, 0, 0, 0, 320, 0, 0, 0, 27, 94, 441
src\@fuse\scss\partials\plugins\_ngx-color-picker.scss, SCSS, 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 37
src\@fuse\scss\partials\plugins\_ngx-datatable.scss, SCSS, 0, 0, 0, 0, 208, 0, 0, 0, 3, 58, 269
src\@fuse\scss\partials\plugins\_perfect-scrollbar.scss, SCSS, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
src\@fuse\scss\partials\plugins\_plugins.scss, SCSS, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
src\@fuse\scss\partials\plugins\_prism.scss, SCSS, 0, 0, 0, 0, 184, 0, 0, 0, 48, 37, 269
src\@fuse\scss\theme.scss, SCSS, 0, 0, 0, 0, 22, 0, 0, 0, 3, 6, 31
